Date,#eddieredmayne,@lupita_nyongo,#dakotajohnson,@pattyarquette,@_juliannemoore
2015-02-22 14:40:00,9.5,1.5,0.7,0.4,4.5
2015-02-22 14:40:05,9.3,1.5,0.7,0.4,4.5
2015-02-22 14:40:10,9.0,1.5,0.7,0.4,4.4
2015-02-22 14:40:15,8.8,1.5,0.7,0.5,4.3
2015-02-22 14:40:20,8.3,1.5,0.7,0.5,4.3
2015-02-22 14:40:25,8.0,1.5,0.7,0.5,4.2
2015-02-22 14:40:30,7.6,1.5,0.7,0.5,4.3
2015-02-22 14:40:35,7.4,1.5,0.6,0.5,4.3
2015-02-22 14:40:40,7.0,1.5,0.6,0.6,4.3
2015-02-22 14:40:45,6.7,1.5,0.6,0.6,4.4
2015-02-22 14:40:50,6.4,1.6,0.6,0.6,4.4
2015-02-22 14:40:55,6.1,1.7,0.6,0.6,4.4
2015-02-22 14:41:00,6.0,1.7,0.6,0.6,4.3
2015-02-22 14:41:05,5.8,1.7,0.5,0.6,4.2
2015-02-22 14:41:10,5.6,1.7,0.5,0.6,4.1
2015-02-22 14:41:15,5.3,1.7,0.5,0.6,3.9
2015-02-22 14:41:20,5.1,1.7,0.5,0.6,3.9
2015-02-22 14:41:25,4.6,1.8,0.5,0.6,3.9
2015-02-22 14:41:30,4.6,1.8,0.5,0.6,4.0
2015-02-22 14:41:35,4.7,1.8,0.5,0.6,4.0
2015-02-22 14:41:40,4.7,1.8,0.5,0.6,4.0
2015-02-22 14:41:45,4.8,1.8,0.5,0.6,4.1
2015-02-22 14:41:50,4.8,1.8,0.5,0.6,4.0
2015-02-22 14:41:55,4.9,1.8,0.5,0.6,4.0
2015-02-22 14:42:00,4.7,1.7,0.5,0.6,3.8
2015-02-22 14:42:05,4.9,1.7,0.5,0.6,3.8
2015-02-22 14:42:10,4.9,1.7,0.5,0.6,3.7
2015-02-22 14:42:15,4.9,1.7,0.4,0.6,3.7
2015-02-22 14:42:20,4.8,1.7,0.4,0.6,3.7
2015-02-22 14:42:25,5.0,1.7,0.4,0.6,3.7
2015-02-22 14:42:30,5.0,1.7,0.4,0.7,3.3
2015-02-22 14:42:35,5.1,1.6,0.4,0.7,3.2
2015-02-22 14:42:40,5.2,1.6,0.4,0.7,3.2
2015-02-22 14:42:45,5.2,1.5,0.4,0.7,3.2
2015-02-22 14:42:50,5.2,1.5,0.4,0.8,3.1
2015-02-22 14:42:55,5.2,1.5,0.4,0.8,3.1
2015-02-22 14:43:00,4.9,1.4,0.4,1.1,3.1
2015-02-22 14:43:05,4.9,1.4,0.4,1.7,3.1
2015-02-22 14:43:10,4.8,1.2,0.4,2.4,3.1
2015-02-22 14:43:15,4.8,1.2,0.5,2.4,3.1
2015-02-22 14:43:20,4.8,1.3,0.5,2.7,3.1
2015-02-22 14:43:25,4.8,1.3,0.5,3.3,2.9
2015-02-22 14:43:30,4.7,1.3,0.5,3.9,2.9
2015-02-22 14:43:35,4.7,1.3,0.5,4.2,2.9
2015-02-22 14:43:40,4.7,1.3,0.5,4.6,2.8
2015-02-22 14:43:45,4.7,1.3,0.5,4.8,2.8
2015-02-22 14:43:50,4.8,1.3,0.5,5.6,2.8
2015-02-22 14:43:55,4.8,1.3,0.5,5.8,2.7
2015-02-22 14:44:00,4.8,1.3,0.5,6.3,2.8
2015-02-22 14:44:05,4.8,1.2,0.5,6.6,2.7
2015-02-22 14:44:10,4.8,1.3,0.5,6.8,2.7
2015-02-22 14:44:15,4.7,1.3,0.5,7.1,2.7
2015-02-22 14:44:20,4.7,1.3,0.4,7.8,2.6
2015-02-22 14:44:25,4.7,1.2,0.4,8.0,2.5
2015-02-22 14:44:30,4.8,1.2,0.4,8.4,2.6
2015-02-22 14:44:35,4.9,1.2,0.4,8.8,2.6
2015-02-22 14:44:40,5.1,1.2,0.4,9.3,2.6
2015-02-22 14:44:45,5.0,1.2,0.4,9.5,2.6
2015-02-22 14:44:50,5.1,1.3,0.4,9.6,2.6
2015-02-22 14:44:55,5.2,1.2,0.4,10.6,2.6
2015-02-22 14:45:00,5.3,1.2,0.4,10.9,2.7
2015-02-22 14:45:05,5.4,1.2,0.3,11.4,2.6
2015-02-22 14:45:10,5.6,1.2,0.4,11.9,2.4
2015-02-22 14:45:15,5.7,1.2,0.4,12.6,2.4
2015-02-22 14:45:20,5.7,1.2,0.4,13.2,2.4
2015-02-22 14:45:25,5.6,1.2,0.4,13.5,2.4
2015-02-22 14:45:30,5.4,1.3,0.4,14.0,2.4
2015-02-22 14:45:35,5.4,1.4,0.4,14.5,2.2
2015-02-22 14:45:40,5.6,1.4,0.4,14.9,2.2
2015-02-22 14:45:45,5.7,1.4,0.4,15.2,2.2
2015-02-22 14:45:50,5.7,1.4,0.4,15.5,2.2
2015-02-22 14:45:55,5.7,1.4,0.4,15.9,2.2
2015-02-22 14:46:00,5.9,1.4,0.5,16.4,2.2
2015-02-22 14:46:05,6.0,1.4,0.5,16.7,2.1
2015-02-22 14:46:10,6.0,1.4,0.5,16.9,2.1
2015-02-22 14:46:15,6.0,1.3,0.5,17.1,2.0
2015-02-22 14:46:20,6.1,1.3,0.5,17.3,2.0
2015-02-22 14:46:25,6.2,1.3,0.5,17.4,2.0
2015-02-22 14:46:30,6.4,1.3,0.5,17.6,2.0
2015-02-22 14:46:35,6.4,1.3,0.5,17.9,1.9
2015-02-22 14:46:40,6.5,1.3,0.6,18.1,2.0
2015-02-22 14:46:45,6.6,1.3,0.6,18.8,1.7
2015-02-22 14:46:50,6.6,1.3,0.6,19.2,1.7
2015-02-22 14:46:55,6.9,1.2,0.6,19.7,1.8
2015-02-22 14:47:00,6.9,1.2,0.6,19.8,1.8
2015-02-22 14:47:05,6.8,1.2,0.6,19.8,1.8
2015-02-22 14:47:10,6.6,1.2,0.6,20.0,1.8
2015-02-22 14:47:15,6.6,1.2,0.6,20.3,1.9
2015-02-22 14:47:20,6.9,1.1,0.5,20.3,1.9
2015-02-22 14:47:25,6.9,1.1,0.5,20.4,1.9
2015-02-22 14:47:30,7.0,1.1,0.5,20.8,1.9
2015-02-22 14:47:35,6.9,1.0,0.5,21.0,1.9
2015-02-22 14:47:40,6.8,1.0,0.5,21.5,2.0
2015-02-22 14:47:45,6.8,1.0,0.6,21.8,2.0
2015-02-22 14:47:50,6.9,1.0,0.6,22.0,2.0
2015-02-22 14:47:55,6.9,1.0,0.6,22.3,2.0
2015-02-22 14:48:00,6.9,1.0,0.6,22.6,2.0
2015-02-22 14:48:05,7.0,1.0,0.6,23.0,2.0
2015-02-22 14:48:10,6.9,1.0,0.6,23.7,2.0
2015-02-22 14:48:15,6.9,1.0,0.6,24.2,1.9
2015-02-22 14:48:20,6.9,0.9,0.6,24.9,1.9
2015-02-22 14:48:25,6.8,0.8,0.6,25.1,1.9
2015-02-22 14:48:30,6.7,0.8,0.6,25.4,2.0
2015-02-22 14:48:35,6.8,0.8,0.6,25.8,2.0
2015-02-22 14:48:40,6.7,0.8,0.6,26.0,2.0
2015-02-22 14:48:45,6.6,0.8,0.6,26.4,2.1
2015-02-22 14:48:50,6.5,0.8,0.6,26.7,2.1
2015-02-22 14:48:55,6.5,0.8,0.6,27.1,2.1
2015-02-22 14:49:00,6.7,0.8,0.6,27.4,2.1
2015-02-22 14:49:05,6.7,0.8,0.6,28.0,2.1
2015-02-22 14:49:10,6.9,0.9,0.6,28.3,2.1
2015-02-22 14:49:15,7.1,0.9,0.6,28.7,2.1
2015-02-22 14:49:20,7.4,0.9,0.6,29.2,2.1
2015-02-22 14:49:25,7.7,0.9,0.6,29.6,2.0
2015-02-22 14:49:30,7.8,0.9,0.7,30.0,2.0
2015-02-22 14:49:35,7.9,0.9,0.7,30.3,2.1
2015-02-22 14:49:40,7.9,0.9,0.6,31.1,2.0
2015-02-22 14:49:45,7.9,0.9,0.7,31.7,1.9
2015-02-22 14:49:50,7.8,0.9,0.7,32.3,1.9
2015-02-22 14:49:55,7.8,0.9,0.7,32.6,1.9
2015-02-22 14:50:00,7.9,1.0,0.7,32.8,1.9
2015-02-22 14:50:05,8.2,1.0,0.7,33.3,1.9
2015-02-22 14:50:10,8.2,1.1,0.7,33.7,1.9
2015-02-22 14:50:15,8.3,1.1,0.7,33.9,1.8
2015-02-22 14:50:20,8.5,1.1,0.7,34.1,1.8
2015-02-22 14:50:25,8.4,1.1,0.7,34.3,1.7
2015-02-22 14:50:30,8.4,1.1,0.7,34.8,1.6
2015-02-22 14:50:35,8.4,1.1,0.7,34.9,1.7
2015-02-22 14:50:40,8.6,1.1,0.7,35.4,1.7
2015-02-22 14:50:45,8.8,1.1,0.8,35.8,1.6
2015-02-22 14:50:50,8.7,1.0,0.8,36.2,1.6
2015-02-22 14:50:55,9.1,0.9,0.8,36.7,1.7
2015-02-22 14:51:00,8.9,0.9,0.8,37.2,1.7
2015-02-22 14:51:05,8.8,0.9,0.9,37.6,1.7
2015-02-22 14:51:10,8.8,0.9,0.9,38.4,1.7
2015-02-22 14:51:15,8.7,0.9,0.9,38.8,1.7
2015-02-22 14:51:20,8.7,0.9,0.9,39.0,1.7
2015-02-22 14:51:25,8.8,0.8,0.9,39.3,1.6
2015-02-22 14:51:30,9.0,0.8,1.0,39.6,1.5
2015-02-22 14:51:35,8.9,0.8,1.0,39.7,1.5
2015-02-22 14:51:40,8.9,0.8,1.0,40.0,1.5
2015-02-22 14:51:45,9.0,0.8,1.0,40.2,1.4
2015-02-22 14:51:50,9.1,0.8,1.0,40.2,1.4
2015-02-22 14:51:55,9.1,0.9,1.0,40.6,1.4
2015-02-22 14:52:00,9.1,0.9,1.0,40.7,1.5
2015-02-22 14:52:05,9.0,0.9,1.0,40.7,1.6
2015-02-22 14:52:10,9.2,0.9,1.0,41.0,1.6
2015-02-22 14:52:15,9.2,0.9,1.0,41.6,1.6
2015-02-22 14:52:20,9.2,0.9,1.0,41.8,1.6
2015-02-22 14:52:25,9.2,0.9,1.0,42.2,1.6
2015-02-22 14:52:30,9.4,0.9,1.0,42.7,1.6
2015-02-22 14:52:35,9.7,0.9,1.1,43.1,1.6
2015-02-22 14:52:40,9.6,0.9,1.1,43.2,1.6
2015-02-22 14:52:45,9.7,0.9,1.1,43.3,1.7
2015-02-22 14:52:50,9.8,0.9,1.1,43.6,1.9
2015-02-22 14:52:55,9.8,0.9,1.1,44.0,1.9
2015-02-22 14:53:00,10.0,0.9,1.1,44.4,1.9
2015-02-22 14:53:05,10.3,0.9,1.1,44.3,1.9
2015-02-22 14:53:10,10.4,0.9,1.1,44.0,1.9
2015-02-22 14:53:15,10.3,0.9,1.0,44.2,2.0
2015-02-22 14:53:20,10.5,0.9,1.0,44.6,2.1
2015-02-22 14:53:25,10.6,0.9,1.0,45.0,2.1
2015-02-22 14:53:30,10.7,0.9,1.0,45.3,2.1
2015-02-22 14:53:35,10.8,0.9,1.0,45.3,2.2
2015-02-22 14:53:40,10.9,0.9,1.0,45.1,2.2
2015-02-22 14:53:45,10.8,0.9,1.0,45.3,2.2
2015-02-22 14:53:50,10.8,0.9,1.0,44.8,2.2
2015-02-22 14:53:55,11.1,0.9,1.0,45.2,2.3
2015-02-22 14:54:00,11.3,0.9,1.1,45.2,2.4
2015-02-22 14:54:05,11.4,0.9,1.1,45.2,2.4
2015-02-22 14:54:10,11.4,0.8,1.1,45.4,2.4
2015-02-22 14:54:15,11.6,0.8,1.1,45.4,2.4
2015-02-22 14:54:20,11.4,0.8,1.1,44.9,2.4
2015-02-22 14:54:25,11.6,0.8,1.1,45.2,2.4
2015-02-22 14:54:30,11.5,0.8,1.1,45.2,2.4
2015-02-22 14:54:35,11.3,0.8,1.1,45.3,2.4
2015-02-22 14:54:40,11.5,0.8,1.1,45.1,2.4
2015-02-22 14:54:45,11.5,0.8,1.1,45.2,2.5
2015-02-22 14:54:50,11.4,0.7,1.1,45.6,2.5
2015-02-22 14:54:55,11.4,0.7,1.1,44.9,2.5
2015-02-22 14:55:00,11.6,0.7,1.1,44.6,2.4
2015-02-22 14:55:05,11.6,0.7,1.1,44.2,2.4
2015-02-22 14:55:10,11.6,0.8,1.0,43.7,2.6
2015-02-22 14:55:15,11.8,0.8,1.0,43.6,2.6
2015-02-22 14:55:20,11.8,0.8,1.0,43.1,2.7
2015-02-22 14:55:25,12.1,0.8,1.0,43.0,2.7
2015-02-22 14:55:30,12.3,0.7,1.0,42.7,2.7
2015-02-22 14:55:35,12.3,0.6,1.0,42.3,2.7
2015-02-22 14:55:40,12.2,0.6,1.0,42.5,2.7
2015-02-22 14:55:45,12.3,0.7,1.0,42.4,2.7
2015-02-22 14:55:50,12.5,0.7,1.0,42.5,2.7
2015-02-22 14:55:55,12.4,0.7,1.0,42.4,2.7
2015-02-22 14:56:00,12.3,0.7,0.9,42.4,2.7
2015-02-22 14:56:05,12.2,0.7,0.9,42.3,2.7
2015-02-22 14:56:10,12.2,0.7,0.9,42.4,2.8
2015-02-22 14:56:15,12.2,0.7,0.9,42.5,2.9
2015-02-22 14:56:20,12.1,0.7,0.9,42.6,2.9
2015-02-22 14:56:25,11.9,0.7,0.9,42.8,2.9
2015-02-22 14:56:30,11.8,0.7,1.0,43.5,2.9
2015-02-22 14:56:35,11.7,0.8,1.0,43.5,2.9
2015-02-22 14:56:40,11.7,0.8,0.9,43.4,2.8
2015-02-22 14:56:45,11.6,0.9,0.9,43.3,2.9
2015-02-22 14:56:50,11.6,0.9,0.9,43.3,2.9
2015-02-22 14:56:55,11.3,0.9,0.9,43.2,2.8
2015-02-22 14:57:00,11.2,0.9,0.9,43.5,2.8
2015-02-22 14:57:05,11.4,0.9,0.9,43.8,2.8
2015-02-22 14:57:10,11.5,0.9,0.9,44.4,2.8
2015-02-22 14:57:15,11.5,0.9,0.9,44.7,2.8
2015-02-22 14:57:20,11.3,0.9,0.9,45.1,2.9
2015-02-22 14:57:25,11.3,0.9,0.9,45.1,2.9
2015-02-22 14:57:30,11.3,0.9,0.9,45.1,2.9
2015-02-22 14:57:35,11.3,0.9,0.9,45.2,2.9
2015-02-22 14:57:40,11.4,0.9,0.9,44.8,2.8
2015-02-22 14:57:45,11.4,0.9,0.8,44.9,2.8
2015-02-22 14:57:50,11.3,0.9,0.8,45.4,2.9
2015-02-22 14:57:55,11.4,1.0,0.8,45.2,2.9
2015-02-22 14:58:00,11.5,1.0,0.8,45.5,2.9
2015-02-22 14:58:05,11.5,1.0,0.8,45.6,2.9
2015-02-22 14:58:10,11.5,1.0,0.8,45.2,2.9
2015-02-22 14:58:15,11.5,1.0,0.8,44.7,3.0
2015-02-22 14:58:20,11.5,1.0,0.8,44.1,3.0
2015-02-22 14:58:25,11.5,1.0,0.8,43.9,3.0
2015-02-22 14:58:30,11.5,1.0,0.8,43.7,2.9
2015-02-22 14:58:35,11.3,1.0,0.8,43.4,2.9
2015-02-22 14:58:40,11.5,1.0,0.8,43.2,2.9
2015-02-22 14:58:45,11.5,1.0,0.8,42.8,2.8
2015-02-22 14:58:50,11.7,1.0,0.8,42.6,2.8
2015-02-22 14:58:55,11.7,1.0,0.8,42.3,2.8
2015-02-22 14:59:00,11.7,1.0,0.8,42.1,2.9
2015-02-22 14:59:05,11.7,1.0,0.8,41.5,2.9
2015-02-22 14:59:10,11.6,1.0,0.8,41.2,3.0
2015-02-22 14:59:15,11.4,1.0,0.8,40.9,3.1
2015-02-22 14:59:20,11.1,1.0,0.8,40.5,3.1
2015-02-22 14:59:25,10.9,1.0,0.8,40.3,3.1
2015-02-22 14:59:30,10.9,1.1,0.7,40.0,3.1
2015-02-22 14:59:35,10.8,1.1,0.7,39.9,3.0
2015-02-22 14:59:40,10.7,1.2,0.7,39.1,3.0
2015-02-22 14:59:45,10.6,1.2,0.6,38.6,3.0
2015-02-22 14:59:50,10.6,1.2,0.6,38.0,3.0
2015-02-22 14:59:55,10.6,1.2,0.6,37.7,3.0
2015-02-22 15:00:00,10.5,1.1,0.6,37.6,3.0
2015-02-22 15:00:05,10.2,1.1,0.6,37.3,3.0
2015-02-22 15:00:10,10.2,1.0,0.6,37.2,3.0
2015-02-22 15:00:15,10.1,1.1,0.6,37.2,3.0
2015-02-22 15:00:20,10.0,1.1,0.6,37.2,3.0
2015-02-22 15:00:25,10.0,1.1,0.7,37.0,3.1
2015-02-22 15:00:30,10.0,1.1,0.7,36.6,3.1
2015-02-22 15:00:35,10.0,1.1,0.7,36.5,3.1
2015-02-22 15:00:40,9.9,1.1,0.8,35.9,3.1
2015-02-22 15:00:45,9.9,1.2,0.7,35.5,3.1
2015-02-22 15:00:50,9.9,1.3,0.7,35.3,3.1
2015-02-22 15:00:55,9.7,1.3,0.7,35.1,3.0
2015-02-22 15:01:00,9.7,1.3,0.7,35.0,3.0
2015-02-22 15:01:05,9.7,1.3,0.6,34.7,3.0
2015-02-22 15:01:10,9.6,1.3,0.6,34.0,3.0
2015-02-22 15:01:15,9.6,1.3,0.6,33.7,3.0
2015-02-22 15:01:20,9.6,1.3,0.6,33.7,3.0
2015-02-22 15:01:25,9.7,1.3,0.6,33.5,3.1
2015-02-22 15:01:30,9.5,1.4,0.5,33.2,3.1
2015-02-22 15:01:35,9.5,1.4,0.5,33.1,3.1
2015-02-22 15:01:40,9.5,1.4,0.5,32.9,3.1
2015-02-22 15:01:45,9.2,1.4,0.5,32.8,3.1
2015-02-22 15:01:50,9.1,1.4,0.5,32.9,3.1
2015-02-22 15:01:55,9.1,1.3,0.5,32.6,3.1
2015-02-22 15:02:00,9.1,1.3,0.5,32.5,3.0
2015-02-22 15:02:05,9.1,1.3,0.5,32.6,2.9
2015-02-22 15:02:10,9.0,1.3,0.5,32.3,2.9
2015-02-22 15:02:15,9.2,1.3,0.5,31.7,2.9
2015-02-22 15:02:20,9.2,1.4,0.5,31.5,2.9
2015-02-22 15:02:25,9.0,1.5,0.5,31.0,2.8
2015-02-22 15:02:30,8.8,1.5,0.5,30.4,2.9
2015-02-22 15:02:35,8.5,1.6,0.4,30.0,2.9
2015-02-22 15:02:40,8.5,1.6,0.4,30.1,2.9
2015-02-22 15:02:45,8.5,1.6,0.4,30.0,2.8
2015-02-22 15:02:50,8.6,1.7,0.4,29.7,2.6
2015-02-22 15:02:55,8.6,1.8,0.4,29.3,2.6
2015-02-22 15:03:00,8.5,1.8,0.4,28.7,2.6
2015-02-22 15:03:05,8.3,1.9,0.4,28.3,2.6
2015-02-22 15:03:10,8.3,1.9,0.4,27.9,2.6
2015-02-22 15:03:15,8.3,1.9,0.5,27.7,2.5
2015-02-22 15:03:20,8.1,1.9,0.6,27.0,2.4
2015-02-22 15:03:25,8.0,2.0,0.6,26.0,2.4
2015-02-22 15:03:30,7.9,2.0,0.6,25.1,2.4
2015-02-22 15:03:35,7.8,2.0,0.6,24.8,2.3
2015-02-22 15:03:40,7.9,2.0,0.6,24.5,2.3
2015-02-22 15:03:45,7.9,2.0,0.6,24.1,2.3
2015-02-22 15:03:50,7.8,2.0,0.6,23.9,2.2
2015-02-22 15:03:55,7.5,2.0,0.7,23.6,2.2
2015-02-22 15:04:00,7.3,2.1,0.6,23.1,2.0
2015-02-22 15:04:05,7.1,2.1,0.6,22.9,2.0
2015-02-22 15:04:10,7.2,2.1,0.6,22.6,2.0
2015-02-22 15:04:15,7.1,2.1,0.6,22.3,2.0
2015-02-22 15:04:20,7.1,2.1,0.6,22.1,2.0
2015-02-22 15:04:25,6.9,2.2,0.6,21.7,2.1
2015-02-22 15:04:30,6.9,2.2,0.6,21.3,2.1
2015-02-22 15:04:35,6.9,2.3,0.6,21.0,2.1
2015-02-22 15:04:40,6.7,2.3,0.6,20.7,2.1
2015-02-22 15:04:45,6.7,2.3,0.6,20.4,2.0
2015-02-22 15:04:50,6.8,2.3,0.6,20.0,2.0
2015-02-22 15:04:55,6.7,2.3,0.6,19.9,2.0
2015-02-22 15:05:00,6.4,2.4,0.6,19.9,2.1
2015-02-22 15:05:05,6.3,2.4,0.6,19.9,2.1
2015-02-22 15:05:10,6.1,2.4,0.6,19.9,2.0
2015-02-22 15:05:15,6.0,2.4,0.6,19.3,2.0
2015-02-22 15:05:20,6.2,2.5,0.6,19.2,2.0
2015-02-22 15:05:25,5.9,2.5,0.6,19.0,2.0
2015-02-22 15:05:30,5.9,2.5,0.6,18.9,2.1
2015-02-22 15:05:35,6.1,2.6,0.6,18.8,2.1
2015-02-22 15:05:40,6.0,2.7,0.6,18.2,2.2
2015-02-22 15:05:45,5.8,2.6,0.6,18.0,2.2
2015-02-22 15:05:50,5.6,2.6,0.6,17.6,2.2
2015-02-22 15:05:55,5.6,2.7,0.6,17.3,2.3
2015-02-22 15:06:00,5.6,2.7,0.6,17.0,2.3
2015-02-22 15:06:05,5.8,2.7,0.6,16.8,2.3
2015-02-22 15:06:10,5.9,2.7,0.7,16.4,2.4
2015-02-22 15:06:15,5.9,2.7,0.8,16.2,2.4
2015-02-22 15:06:20,6.0,2.7,0.8,15.9,2.4
2015-02-22 15:06:25,6.0,2.7,0.8,15.6,2.4
2015-02-22 15:06:30,6.0,2.7,0.7,14.8,2.4
2015-02-22 15:06:35,6.1,2.6,0.7,14.5,2.4
2015-02-22 15:06:40,6.0,2.6,0.7,14.4,2.4
2015-02-22 15:06:45,6.1,2.5,0.7,13.8,2.3
2015-02-22 15:06:50,6.1,2.6,0.7,13.4,2.3
2015-02-22 15:06:55,6.2,2.7,0.8,13.0,2.3
2015-02-22 15:07:00,6.2,2.7,0.8,12.6,2.3
2015-02-22 15:07:05,6.0,2.7,0.8,12.4,2.3
2015-02-22 15:07:10,6.1,2.8,0.8,11.9,2.3
2015-02-22 15:07:15,6.1,2.9,0.8,11.3,2.2
2015-02-22 15:07:20,6.2,3.1,0.8,11.0,2.1
2015-02-22 15:07:25,6.3,3.2,0.8,11.0,2.2
2015-02-22 15:07:30,6.3,3.2,0.9,10.6,2.2
2015-02-22 15:07:35,6.3,3.2,0.9,10.3,2.2
2015-02-22 15:07:40,6.2,3.2,0.9,10.2,2.4
2015-02-22 15:07:45,6.2,3.2,0.9,9.8,2.4
2015-02-22 15:07:50,6.2,3.3,0.9,9.3,2.3
2015-02-22 15:07:55,6.2,3.2,0.9,9.2,2.4
2015-02-22 15:08:00,6.3,3.3,0.9,8.6,2.5
2015-02-22 15:08:05,6.2,3.3,0.9,8.1,2.5
2015-02-22 15:08:10,6.2,3.3,0.9,7.9,2.5
2015-02-22 15:08:15,6.3,3.4,0.9,7.9,2.4
2015-02-22 15:08:20,6.3,3.4,0.9,7.9,2.4
2015-02-22 15:08:25,6.4,3.4,0.9,8.0,2.5
2015-02-22 15:08:30,6.4,3.4,0.9,7.9,2.5
2015-02-22 15:08:35,6.4,3.4,0.9,7.9,2.5
2015-02-22 15:08:40,6.2,3.4,0.9,8.0,2.5
2015-02-22 15:08:45,6.3,3.4,0.9,8.1,2.5
2015-02-22 15:08:50,6.2,3.4,0.9,8.1,2.6
2015-02-22 15:08:55,6.3,3.5,0.9,8.0,2.6
2015-02-22 15:09:00,6.1,3.5,0.9,7.9,2.5
2015-02-22 15:09:05,6.1,3.5,0.9,8.0,2.6
2015-02-22 15:09:10,6.0,3.5,0.9,8.1,2.6
2015-02-22 15:09:15,6.1,3.6,0.9,8.1,2.5
2015-02-22 15:09:20,6.1,3.7,0.9,8.0,2.5
2015-02-22 15:09:25,6.1,3.7,0.9,7.8,2.5
2015-02-22 15:09:30,6.0,3.7,0.9,7.7,2.5
2015-02-22 15:09:35,6.1,3.7,0.9,7.5,2.6
2015-02-22 15:09:40,6.2,3.6,0.9,7.6,2.7
2015-02-22 15:09:45,6.2,3.6,0.9,7.6,2.7
2015-02-22 15:09:50,6.2,3.6,1.0,7.6,2.7
2015-02-22 15:09:55,6.2,3.6,1.0,7.7,2.7
2015-02-22 15:10:00,6.2,3.6,1.0,7.6,2.7
2015-02-22 15:10:05,6.2,3.6,1.0,7.4,2.7
2015-02-22 15:10:10,6.3,3.6,1.0,7.1,2.7
2015-02-22 15:10:15,6.4,3.5,1.0,6.8,2.8
2015-02-22 15:10:20,6.3,3.5,1.0,6.6,2.9
2015-02-22 15:10:25,6.4,3.5,0.9,6.6,2.8
2015-02-22 15:10:30,6.4,3.6,0.9,6.5,2.8
2015-02-22 15:10:35,6.5,3.6,1.0,6.5,2.7
