Date,#whiplash,#birdman,#boyhood,#americansniper,#selma
2015-02-22 17:15:15,16,29,20,17,5
2015-02-22 17:15:20,15,29,20,17,7
2015-02-22 17:15:25,15,29,20,17,7
2015-02-22 17:15:30,15,29,20,17,7
2015-02-22 17:15:35,15,29,20,17,7
2015-02-22 17:15:40,15,29,21,17,7
2015-02-22 17:15:45,15,29,21,17,7
2015-02-22 17:15:50,15,29,21,17,7
2015-02-22 17:15:55,15,30,22,17,7
2015-02-22 17:16:00,15,30,22,16,7
2015-02-22 17:16:05,15,29,22,16,7
2015-02-22 17:16:10,15,29,22,16,7
2015-02-22 17:16:15,15,29,23,16,7
2015-02-22 17:16:20,15,29,23,16,7
2015-02-22 17:16:25,15,29,23,16,7
2015-02-22 17:16:30,15,30,22,15,8
2015-02-22 17:16:35,15,29,21,15,8
2015-02-22 17:16:40,15,28,21,15,8
2015-02-22 17:16:45,14,28,21,15,8
2015-02-22 17:16:50,14,28,21,15,8
2015-02-22 17:16:55,14,28,21,15,8
2015-02-22 17:17:00,15,27,21,15,8
2015-02-22 17:17:05,15,28,22,16,8
2015-02-22 17:17:10,15,28,22,16,8
2015-02-22 17:17:15,15,28,22,16,8
2015-02-22 17:17:20,15,28,22,15,7
2015-02-22 17:17:25,15,28,22,15,7
2015-02-22 17:17:30,15,26,19,14,7
2015-02-22 17:17:35,15,26,18,14,7
2015-02-22 17:17:40,14,26,18,14,7
2015-02-22 17:17:45,14,26,18,13,7
2015-02-22 17:17:50,14,26,18,13,7
2015-02-22 17:17:55,13,26,18,13,7
2015-02-22 17:18:00,13,26,17,13,7
2015-02-22 17:18:05,13,27,17,12,7
2015-02-22 17:18:10,13,25,17,11,6
2015-02-22 17:18:15,13,25,17,11,6
2015-02-22 17:18:20,13,25,17,11,6
2015-02-22 17:18:25,13,26,18,12,7
2015-02-22 17:18:30,13,26,18,12,7
2015-02-22 17:18:35,13,26,18,12,7
2015-02-22 17:18:40,13,26,18,12,7
2015-02-22 17:18:45,13,27,19,12,7
2015-02-22 17:18:50,13,26,19,12,7
2015-02-22 17:18:55,13,25,18,12,7
2015-02-22 17:19:00,13,25,18,12,7
2015-02-22 17:19:05,13,26,17,12,7
2015-02-22 17:19:10,13,26,17,12,7
2015-02-22 17:19:15,13,26,17,12,7
2015-02-22 17:19:20,13,26,17,12,7
2015-02-22 17:19:25,13,25,16,12,6
2015-02-22 17:19:30,13,25,16,12,6
2015-02-22 17:19:35,13,25,16,12,6
2015-02-22 17:19:40,13,24,16,11,6
2015-02-22 17:19:45,13,24,16,13,6
2015-02-22 17:19:50,13,25,16,13,6
2015-02-22 17:19:55,13,24,16,13,6
2015-02-22 17:20:00,13,24,16,13,6
2015-02-22 17:20:05,14,24,15,14,5
2015-02-22 17:20:10,14,24,15,14,5
2015-02-22 17:20:15,14,24,15,14,5
2015-02-22 17:20:20,13,24,14,13,5
2015-02-22 17:20:25,13,23,14,13,6
2015-02-22 17:20:30,13,23,14,13,6
2015-02-22 17:20:35,13,23,14,13,6
2015-02-22 17:20:40,13,23,14,13,6
2015-02-22 17:20:45,14,22,14,14,6
2015-02-22 17:20:50,11,22,14,14,6
2015-02-22 17:20:55,11,22,14,14,6
2015-02-22 17:21:00,11,22,14,14,6
2015-02-22 17:21:05,11,22,14,14,6
2015-02-22 17:21:10,10,22,14,14,6
2015-02-22 17:21:15,10,22,14,14,6
2015-02-22 17:21:20,10,22,14,14,7
2015-02-22 17:21:25,11,22,14,14,7
2015-02-22 17:21:30,11,22,14,13,7
2015-02-22 17:21:35,11,22,14,13,7
2015-02-22 17:21:40,11,22,14,13,7
2015-02-22 17:21:45,11,22,14,13,7
2015-02-22 17:21:50,11,21,13,12,7
2015-02-22 17:21:55,11,21,13,12,7
2015-02-22 17:22:00,11,21,13,12,7
2015-02-22 17:22:05,11,21,13,13,8
2015-02-22 17:22:10,11,21,13,13,8
2015-02-22 17:22:15,11,20,14,12,8
2015-02-22 17:22:20,11,20,16,12,8
2015-02-22 17:22:25,11,20,16,12,8
2015-02-22 17:22:30,11,21,16,12,8
2015-02-22 17:22:35,11,21,16,12,8
2015-02-22 17:22:40,11,21,16,13,9
2015-02-22 17:22:45,11,21,16,13,9
2015-02-22 17:22:50,10,20,16,12,9
2015-02-22 17:22:55,9,20,16,12,9
2015-02-22 17:23:00,9,20,16,12,9
2015-02-22 17:23:05,9,20,16,12,9
2015-02-22 17:23:10,8,19,15,12,9
2015-02-22 17:23:15,8,20,15,12,9
2015-02-22 17:23:20,8,20,15,12,9
2015-02-22 17:23:25,8,21,15,12,9
2015-02-22 17:23:30,8,21,15,12,9
2015-02-22 17:23:35,8,21,14,12,9
2015-02-22 17:23:40,8,21,14,11,9
2015-02-22 17:23:45,8,21,14,11,9
2015-02-22 17:23:50,8,21,14,11,9
2015-02-22 17:23:55,8,20,13,11,9
2015-02-22 17:24:00,9,20,12,11,9
2015-02-22 17:24:05,9,20,12,11,9
2015-02-22 17:24:10,9,20,12,11,9
2015-02-22 17:24:15,10,20,12,11,9
2015-02-22 17:24:20,10,20,12,11,9
2015-02-22 17:24:25,9,19,12,11,9
2015-02-22 17:24:30,9,19,12,11,9
2015-02-22 17:24:35,9,19,12,11,9
2015-02-22 17:24:40,9,19,13,11,9
2015-02-22 17:24:45,10,19,14,11,9
2015-02-22 17:24:50,11,19,14,11,9
2015-02-22 17:24:55,11,19,14,11,9
2015-02-22 17:25:00,11,19,14,11,9
