Date,#birdman,#glory,#whiplash,#selma,#bighero6
2015-02-22 15:00:00,8.7,2.7,2.7,1.7,3.2
2015-02-22 15:00:05,8.4,2.7,2.5,1.7,3.2
2015-02-22 15:00:10,8.7,2.8,2.5,1.7,3.4
2015-02-22 15:00:15,8.7,2.8,2.5,1.7,3.4
2015-02-22 15:00:20,8.7,2.7,2.5,1.7,3.4
2015-02-22 15:00:25,8.5,2.7,2.6,1.7,3.4
2015-02-22 15:00:30,8.6,2.7,2.6,1.7,3.4
2015-02-22 15:00:35,8.6,2.7,2.6,1.6,3.4
2015-02-22 15:00:40,8.6,2.7,2.4,1.6,3.4
2015-02-22 15:00:45,8.7,2.6,2.3,1.6,3.3
2015-02-22 15:00:50,8.8,2.6,2.3,1.6,3.3
2015-02-22 15:00:55,8.9,2.5,2.3,1.8,3.3
2015-02-22 15:01:00,9.0,2.4,2.3,2.0,3.3
2015-02-22 15:01:05,9.0,2.4,2.3,2.0,3.3
2015-02-22 15:01:10,9.2,2.4,2.3,2.0,3.3
2015-02-22 15:01:15,9.2,2.4,2.3,2.0,3.2
2015-02-22 15:01:20,9.4,2.5,2.4,2.1,3.3
2015-02-22 15:01:25,9.3,2.5,2.4,2.2,3.3
2015-02-22 15:01:30,9.4,2.7,2.4,2.3,3.3
2015-02-22 15:01:35,9.5,2.7,2.4,2.4,3.2
2015-02-22 15:01:40,9.4,2.8,2.4,2.7,3.3
2015-02-22 15:01:45,9.3,2.9,2.4,3.0,3.3
2015-02-22 15:01:50,9.3,2.9,2.4,3.8,3.3
2015-02-22 15:01:55,9.3,2.9,2.4,4.3,3.2
2015-02-22 15:02:00,9.4,2.9,2.4,5.0,3.3
2015-02-22 15:02:05,9.4,2.9,2.4,5.3,3.3
2015-02-22 15:02:10,9.6,2.9,2.5,5.6,3.5
2015-02-22 15:02:15,9.6,2.9,2.5,6.2,3.6
2015-02-22 15:02:20,9.7,2.9,2.4,7.1,3.6
2015-02-22 15:02:25,9.7,2.8,2.4,8.0,3.6
2015-02-22 15:02:30,9.5,2.8,2.4,8.5,3.7
2015-02-22 15:02:35,9.6,2.8,2.5,8.8,3.7
2015-02-22 15:02:40,9.7,2.8,2.5,9.1,3.7
2015-02-22 15:02:45,9.9,2.8,2.6,9.3,3.7
2015-02-22 15:02:50,10.1,2.7,2.6,9.9,3.8
2015-02-22 15:02:55,10.2,2.7,2.8,10.4,3.8
2015-02-22 15:03:00,10.1,2.7,2.7,10.8,3.8
2015-02-22 15:03:05,10.1,2.7,2.7,11.8,3.8
2015-02-22 15:03:10,10.1,2.7,2.7,12.4,3.8
2015-02-22 15:03:15,10.2,2.7,2.7,12.8,3.9
2015-02-22 15:03:20,10.1,2.7,2.7,12.9,3.9
2015-02-22 15:03:25,10.0,2.8,2.7,13.3,3.9
2015-02-22 15:03:30,10.0,2.8,2.7,13.4,3.8
2015-02-22 15:03:35,10.0,2.8,2.7,13.6,3.8
2015-02-22 15:03:40,9.9,2.8,2.7,13.8,3.8
2015-02-22 15:03:45,10.0,2.9,2.7,14.0,3.7
2015-02-22 15:03:50,10.4,2.8,2.6,14.5,3.9
2015-02-22 15:03:55,10.5,2.8,2.5,14.7,3.8
2015-02-22 15:04:00,10.3,2.7,2.5,15.1,3.8
2015-02-22 15:04:05,10.3,2.8,2.5,15.2,3.9
2015-02-22 15:04:10,10.4,2.7,2.6,15.2,3.9
2015-02-22 15:04:15,10.4,2.7,2.5,15.7,3.9
2015-02-22 15:04:20,10.6,2.7,2.5,16.2,3.9
2015-02-22 15:04:25,10.7,2.4,2.5,16.6,3.9
2015-02-22 15:04:30,10.9,2.3,2.4,17.0,3.9
2015-02-22 15:04:35,10.9,2.3,2.4,17.1,3.9
2015-02-22 15:04:40,11.2,2.3,2.4,17.4,3.9
2015-02-22 15:04:45,10.8,2.3,2.4,17.5,4.0
2015-02-22 15:04:50,10.6,2.5,2.4,17.6,3.9
2015-02-22 15:04:55,10.7,2.5,2.4,17.6,3.8
2015-02-22 15:05:00,10.7,2.5,2.5,17.6,3.9
2015-02-22 15:05:05,10.6,2.5,2.5,17.6,3.9
2015-02-22 15:05:10,10.6,2.4,2.5,17.6,3.9
2015-02-22 15:05:15,10.4,2.3,2.5,17.6,3.9
2015-02-22 15:05:20,10.4,2.3,2.5,17.6,4.0
2015-02-22 15:05:25,10.3,2.2,2.4,17.6,4.0
2015-02-22 15:05:30,10.5,2.2,2.7,17.6,4.0
2015-02-22 15:05:35,10.7,2.2,2.8,17.6,4.0
2015-02-22 15:05:40,10.9,2.2,2.9,17.7,4.1
2015-02-22 15:05:45,10.9,2.2,2.9,17.7,4.1
2015-02-22 15:05:50,10.9,2.2,2.9,17.7,4.2
2015-02-22 15:05:55,10.9,2.2,2.9,17.7,4.3
2015-02-22 15:06:00,10.7,2.2,2.9,17.7,4.2
2015-02-22 15:06:05,10.7,2.4,2.9,17.7,4.1
2015-02-22 15:06:10,10.8,2.4,2.9,17.7,4.1
2015-02-22 15:06:15,10.7,2.4,2.9,17.7,4.1
2015-02-22 15:06:20,10.9,2.4,2.9,17.7,4.1
2015-02-22 15:06:25,11.0,2.4,2.9,17.7,4.2
2015-02-22 15:06:30,10.8,2.4,2.8,17.7,4.2
2015-02-22 15:06:35,10.8,2.4,2.8,17.7,4.2
2015-02-22 15:06:40,10.9,2.4,2.8,17.7,4.2
2015-02-22 15:06:45,11.0,2.4,2.8,17.7,4.2
2015-02-22 15:06:50,11.0,2.4,2.9,17.8,4.3
2015-02-22 15:06:55,11.0,2.4,2.9,17.8,4.4
2015-02-22 15:07:00,11.0,2.4,2.9,17.9,4.4
2015-02-22 15:07:05,11.0,2.2,3.0,17.9,4.3
2015-02-22 15:07:10,10.9,2.2,3.0,18.0,4.3
2015-02-22 15:07:15,11.1,2.2,3.0,18.0,4.2
2015-02-22 15:07:20,11.1,2.2,3.0,18.1,4.1
2015-02-22 15:07:25,11.1,2.2,3.1,18.5,4.4
2015-02-22 15:07:30,10.8,2.3,3.1,18.8,4.4
2015-02-22 15:07:35,10.8,2.4,3.1,19.0,4.4
2015-02-22 15:07:40,10.6,2.4,3.0,19.0,4.4
2015-02-22 15:07:45,10.6,2.4,3.0,19.3,4.3
2015-02-22 15:07:50,10.6,2.4,3.0,19.5,4.4
2015-02-22 15:07:55,10.6,2.4,3.0,19.6,4.4
2015-02-22 15:08:00,10.6,2.3,3.0,19.7,4.4
2015-02-22 15:08:05,10.6,2.3,3.0,19.7,4.6
