Date,#oscars,#oscar,#oscars2015,#oscar2015,#redcarpet
2015-02-20 18:12:05,1,0,0,0,0
2015-02-20 18:12:10,1,0,0,0,0
2015-02-20 18:12:15,1,0,0,0,0
2015-02-20 18:12:20,2,0,0,0,1
2015-02-20 18:12:25,2,0,0,0,0
2015-02-20 18:12:30,0,0,0,0,0
2015-02-20 18:12:35,1,0,0,0,0
2015-02-20 18:12:40,0,0,0,0,1
2015-02-20 18:12:45,0,0,0,0,0
2015-02-20 18:12:50,3,0,0,0,0
2015-02-20 18:12:55,0,0,0,0,0
2015-02-20 18:13:00,2,0,0,0,0
2015-02-20 18:13:05,2,0,0,0,0
2015-02-20 18:13:10,1,0,0,0,0
2015-02-20 18:13:15,2,0,0,0,0
2015-02-20 18:13:20,4,0,0,0,0
2015-02-20 18:13:25,0,0,0,0,0
2015-02-20 18:13:30,1,0,0,0,0
2015-02-20 18:13:35,0,0,0,0,0
2015-02-20 18:13:40,3,0,0,0,0
2015-02-20 18:13:45,1,0,0,0,0
2015-02-20 18:13:50,2,0,0,0,0
2015-02-20 18:13:55,1,0,0,0,0
2015-02-20 18:14:00,1,0,0,0,0
2015-02-20 18:14:05,0,0,0,0,0
2015-02-20 18:14:10,0,0,0,0,0
2015-02-20 18:14:15,2,0,0,0,0
2015-02-20 18:14:20,2,0,0,0,0
2015-02-20 18:14:25,2,0,0,0,0
2015-02-20 18:14:30,0,0,0,0,0
2015-02-20 18:14:35,1,0,0,0,0
2015-02-20 18:14:40,0,0,0,0,0
2015-02-20 18:14:45,1,0,1,0,0
2015-02-20 18:14:50,0,0,0,0,0
2015-02-20 18:14:55,1,0,0,0,0
2015-02-20 18:15:00,1,0,0,0,0
2015-02-20 18:15:05,1,0,0,0,0
2015-02-20 18:15:10,1,0,0,0,0
2015-02-20 18:15:15,2,0,0,0,0
2015-02-20 18:15:20,1,0,0,0,0
2015-02-20 18:15:25,0,0,0,0,0
2015-02-20 18:15:30,1,0,0,0,0
2015-02-20 18:15:35,2,0,0,0,2
2015-02-20 18:15:40,0,0,0,0,0
2015-02-20 18:15:45,0,0,0,0,0
2015-02-20 18:15:50,2,0,0,0,0
2015-02-20 18:15:55,0,0,0,0,0
2015-02-20 18:16:00,3,0,1,0,0
2015-02-20 18:16:05,6,0,0,0,0
2015-02-20 18:16:10,1,0,0,0,1
2015-02-20 18:16:15,1,0,0,0,0
2015-02-20 18:16:20,1,0,0,0,0
2015-02-20 18:16:25,0,0,0,0,0
2015-02-20 18:16:30,1,0,0,0,1
2015-02-20 18:16:35,1,0,1,0,0
2015-02-20 18:16:40,0,0,0,0,0
2015-02-20 18:16:45,1,0,0,0,0
2015-02-20 18:16:50,1,0,0,0,0
2015-02-20 18:16:55,2,0,0,0,0
2015-02-20 18:17:00,3,0,0,0,0
